Class name,Description
Cabbage Oak/Palm Hammock,Tall trunks rise amid thick clusters of fan-shaped green leaves.
Cabbage Oak/Palm Hammock,Dense canopy filters sunlight through interlaced leaf patterns above ground.
Cabbage Oak/Palm Hammock,"Broad fronds extend outward from slender, fibrous column-like stalks."
Cabbage Oak/Palm Hammock,Shaded undergrowth flourishes beneath arching green foliage structures.
Cabbage Oak/Palm Hammock,"Leaf tips curl downward, forming jagged edges in layered arrangements."
Cabbage Oak/Palm Hammock,"Bark texture varies with streaks, ridges, and vertical dark lines."
Cabbage Oak/Palm Hammock,"Interwoven greenery covers large sections, creating dense shaded pockets."
Cabbage Oak/Palm Hammock,Palmate leaves grow in symmetrical fans atop rough brown stalks.
Cabbage Oak/Palm Hammock,Moss-covered roots spread through rich soil under leafy cover.
Cabbage Oak/Palm Hammock,Crisscrossing branches support sprawling foliage high above ground level.
Cabbage Oak/Palm Hammock,"Multiple trunk bases emerge closely, creating dense woody clusters."
Cabbage Oak/Palm Hammock,Horizontal leaf fans create radial symmetry from tall central stems.
Cabbage Oak/Palm Hammock,Fibrous textures encase lower trunk segments near moist earth.
Cabbage Oak/Palm Hammock,Leaf shadows dapple soil with scattered organic shapes and lines.
Cabbage Oak/Palm Hammock,Dark trunks form a strong contrast against vibrant green fronds.
Cabbage Oak/Palm Hammock,Thick undergrowth creates a tangled network of roots and stems.
Cabbage Oak/Palm Hammock,Towering vertical stems pierce upward through multilayered green canopies.
Cabbage Oak/Palm Hammock,"Frond-covered tops blend into surroundings, forming continuous overhead green ceiling."
Cabbage Oak/Palm Hammock,Gaps in canopy allow beams of light to filter through.
Cabbage Oak/Palm Hammock,Large woody stalks support radiating leaf fans in every direction.
Cabbage Oak/Palm Hammock,Leaf segments taper sharply outward from thick fibrous bases.
Cabbage Oak/Palm Hammock,"Root clumps push above ground, mingling with scattered forest debris."
Cabbage Oak/Palm Hammock,"Slender stems rise steadily, topped with flat circular leaf fans."
Cabbage Oak/Palm Hammock,Brown fronds hang dry underneath fresher green upper layers.
Cabbage Oak/Palm Hammock,Clusters of woody stems crowd together within leaf-filled surroundings.
Cabbage Oak/Palm Hammock,Shade dominates floor beneath overlapping fans of wide foliage.
Cabbage Oak/Palm Hammock,"Radial leaf patterns emanate outward, casting long symmetrical shadows."
Cabbage Oak/Palm Hammock,Coarse trunks hold steady beneath flourishing umbrella-like foliage.
Cabbage Oak/Palm Hammock,Smaller growth emerges at trunk bases among layered leaf litter.
Cabbage Oak/Palm Hammock,Spiked frond tips point outward in sharp fan-like shapes.
Cabbage Oak/Palm Hammock,Forest floor covered with fragments of dried leaves and bark.
Cabbage Oak/Palm Hammock,Vertical silhouettes stretch skyward beneath clustered green plant cover.
Cabbage Oak/Palm Hammock,Fan-shaped foliage spreads broadly across interconnected overhead structures.
Cabbage Oak/Palm Hammock,"Multiple growth levels display leaves, trunks, and root formations."
Cabbage Oak/Palm Hammock,Weathered stalks show deep cracks and color variation across height.
Cabbage Oak/Palm Hammock,Curving roots intertwine with moist soil around thickened trunks.
Cabbage Oak/Palm Hammock,Overlapping leaf shapes create mosaic-like shadows on forest ground.
Cabbage Oak/Palm Hammock,Long petioles extend leaves high above woody plant bases.
Cabbage Oak/Palm Hammock,Subtle color gradients appear in frond clusters under shifting light.
Cabbage Oak/Palm Hammock,"Rugged trunks twist slightly, bearing heavy fans of stiff leaves."
Cabbage Oak/Palm Hammock,Dried remnants of fronds remain attached along upper stalk portions.
Cabbage Oak/Palm Hammock,Mid-height vegetation creates layered transition between ground and canopy.
Cabbage Oak/Palm Hammock,Intricate texture covers trunk surfaces from base to leaf crown.
Cabbage Oak/Palm Hammock,Green fronds burst outward in star-like radial formations overhead.
Cabbage Oak/Palm Hammock,Low light reaches the ground through broken canopy segments.
Cabbage Oak/Palm Hammock,Root mats sprawl outward in tangled concentric rings.
Cabbage Oak/Palm Hammock,Interwoven leaf bases form tight bundles near woody trunks.
Cabbage Oak/Palm Hammock,Subtle reddish hues blend into bark surfaces at lower stems.
Cabbage Oak/Palm Hammock,Frond lines radiate sharply with alternating light and dark shades.
Cabbage Oak/Palm Hammock,Uneven forest floor littered with dried leaves and root fragments.
Cabbage Oak/Palm Hammock,Green structures tower above forming canopy arches across broad spans.
Cabbage Oak/Palm Hammock,"Petioles curve gracefully upward, lifting fans toward dappled sunlight."
Cabbage Oak/Palm Hammock,Dense thickets grow between tall trunks and clustered green growth.
Cabbage Oak/Palm Hammock,Broken fronds dangle downward from overhead leaf masses.
Cabbage Oak/Palm Hammock,Vertical growth dominates the view with spindly clustered trunks.
Cabbage Oak/Palm Hammock,"Leaf fans stretch across neighboring plants, forming continuous layered panels."
Cabbage Oak/Palm Hammock,"Rich, dark earth packed tightly around weathered root clusters."
Cabbage Oak/Palm Hammock,Distinct line patterns trace through wide palmate leaf structures.
Cabbage Oak/Palm Hammock,Sharp linear leaflets spread evenly from central points.
